,carat,cut,color,clarity,depth,table,price,x,y,z
13616,1.01,Ideal,E,SI1,61.9,56,5571,6.43,6.47,3.99
13621,1.04,Ideal,I,VS1,61.4,58,5572,6.46,6.54,3.99
13627,1.01,Ideal,G,SI1,62.6,56,5576,6.41,6.44,4.02
13628,1.04,Ideal,H,VS1,62.7,55,5577,6.43,6.49,4.05
13629,1.04,Ideal,H,VS1,62.7,57,5577,6.42,6.46,4.04
13630,1.06,Ideal,I,VS1,62,55,5577,6.55,6.58,4.07
13631,1.2,Ideal,I,SI1,60.1,56,5578,6.9,6.84,4.13
13632,1.2,Ideal,H,SI2,62.7,55,5578,6.74,6.69,4.21
13642,1.1,Ideal,H,SI1,62.7,57,5583,6.6,6.63,4.15
13648,1.22,Ideal,J,SI1,60.6,56,5586,6.96,6.95,4.22
13649,1.05,Ideal,F,SI1,60.6,59,5586,6.51,6.56,3.96
13652,1.16,Ideal,I,VS2,60.1,62,5587,6.83,6.78,4.09
13653,1.16,Ideal,I,VS2,60.8,56,5587,6.85,6.81,4.15
13658,1.01,Ideal,H,SI1,62.5,56,5589,6.38,6.45,4.01
13659,1.01,Ideal,E,SI1,61.6,59,5590,6.43,6.4,3.95
13665,1.5,Ideal,I,I1,61.3,57,5593,7.36,7.39,4.52
13672,0.88,Ideal,E,VS2,61.4,56,5595,6.15,6.17,3.78
13673,1.03,Ideal,F,SI1,61.3,56,5595,6.55,6.51,4
13674,1.1,Ideal,F,SI2,62.4,56,5596,6.58,6.62,4.12
13681,1.19,Ideal,E,SI2,61.9,56,5598,6.84,6.8,4.22
13687,1.01,Ideal,E,SI1,62.4,56,5599,6.43,6.39,4
13689,1.01,Ideal,E,SI1,62.6,57,5599,6.43,6.38,4.01
13690,1.01,Ideal,E,SI1,62.1,54,5599,6.5,6.41,4.01
13698,1.23,Ideal,I,SI1,62.1,58,5600,6.82,6.86,4.25
13708,1.07,Ideal,E,SI2,61.5,56,5602,6.58,6.61,4.06
13711,0.37,Ideal,H,VS2,60.7,58,603,4.64,4.68,2.83
13712,0.37,Ideal,H,VS2,62,54,603,4.64,4.65,2.88
13713,0.37,Ideal,H,VS2,61.7,55,603,4.64,4.67,2.87
13714,0.3,Ideal,E,VS2,62.3,56,603,4.27,4.3,2.67
13715,0.3,Ideal,E,VS2,62,57,603,4.26,4.29,2.65
13716,0.3,Ideal,E,VS2,61.8,57,603,4.28,4.3,2.65
13717,0.3,Ideal,E,VS2,62,53,603,4.31,4.33,2.68
13718,0.3,Ideal,E,VS2,60.6,59,603,4.3,4.34,2.62
13719,0.37,Ideal,I,VS1,60.8,56,603,4.67,4.71,2.85
13720,0.3,Ideal,F,VS1,62.3,56,603,4.26,4.28,2.66
13721,0.39,Ideal,G,SI2,61.2,56,603,4.71,4.73,2.89
13722,0.41,Ideal,F,SI2,62.6,57,603,4.68,4.77,2.96
13723,0.38,Ideal,E,SI2,61.5,55,603,4.69,4.72,2.89
13727,0.27,Ideal,E,VS2,62.7,55,603,4.18,4.15,2.61
13728,0.27,Ideal,E,VS1,61.6,57,603,4.16,4.12,2.55
13729,0.27,Ideal,E,VS1,61.6,56,603,4.17,4.14,2.56
13731,0.27,Ideal,E,VS1,61.6,55,603,4.18,4.16,2.57
13736,0.33,Ideal,G,VS2,61.7,55.9,604,4.45,4.49,2.75
13737,0.33,Ideal,G,VS2,61.4,56.1,604,4.42,4.45,2.73
13738,0.32,Ideal,F,SI1,60.6,57,604,4.45,4.49,2.71
13740,0.41,Ideal,J,VS1,62.2,55,604,4.76,4.79,2.97
13742,1.22,Ideal,I,SI1,60.8,57,5602,6.95,6.89,4.21
13743,1.22,Ideal,H,SI2,61.7,56,5602,6.93,6.87,4.26
13744,1.22,Ideal,H,SI2,61,57,5602,6.93,6.88,4.2
13745,1.22,Ideal,I,SI1,61.7,57,5602,6.91,6.86,4.25
13747,1.21,Ideal,J,VS1,61.8,56.2,5604,6.78,6.86,4.2
13752,1.27,Ideal,J,VS2,61.6,56.1,5606,6.94,7,4.29
13759,1.29,Ideal,J,SI1,61.6,58,5607,6.96,6.99,4.3
13760,1.03,Ideal,E,SI1,62,53,5608,6.47,6.5,4.02
13762,1.2,Ideal,H,SI2,61,57,5610,6.84,6.9,4.19
13763,1.1,Ideal,G,SI1,61.6,56,5610,6.59,6.68,4.09
13770,1.2,Ideal,H,SI2,62.6,58,5613,6.74,6.81,4.24
13771,1.06,Ideal,F,SI1,62.2,57,5613,6.52,6.5,4.05
13773,1.16,Ideal,D,SI2,62.5,56,5615,6.7,6.8,4.23
13794,1,Ideal,E,SI1,62.7,57,5622,6.39,6.49,4.04
13798,1,Ideal,G,SI1,61,57,5622,6.47,6.44,3.94
13803,1.21,Ideal,H,SI2,62.6,56,5624,6.84,6.77,4.26
13805,1.21,Ideal,I,SI1,62.4,57,5624,6.84,6.78,4.25
13807,1.08,Ideal,H,VS2,61.8,56,5625,6.59,6.55,4.06
13809,1.15,Ideal,I,VS1,62.1,55,5626,6.76,6.67,4.18
13810,1.04,Ideal,F,SI1,62.9,54,5626,6.49,6.46,4.07
13818,1,Ideal,E,SI1,60.1,62,5629,6.46,6.48,3.89
13820,1.53,Ideal,H,SI2,59.6,57,5631,7.46,7.38,4.42
13824,1.11,Ideal,H,VS2,64,58,5632,6.52,6.46,4.16
13827,1.2,Ideal,I,VS2,62.5,56,5634,6.77,6.74,4.22
13828,1.15,Ideal,F,SI2,60.6,58,5635,6.75,6.79,4.1
13829,1.1,Ideal,H,SI1,62.2,55,5636,6.66,6.62,4.13
13834,1.24,Ideal,I,VS2,62.4,57,5638,6.82,6.9,4.28
13836,1,Ideal,D,SI1,62.8,55,5639,6.3,6.38,3.98
13838,0.87,Ideal,F,VS1,62,55,5640,6.1,6.13,3.79
13842,1.23,Ideal,H,SI2,61.4,54,5641,6.95,6.94,4.26
13855,1.26,Ideal,I,SI1,62.4,56,5645,6.93,6.85,4.3
13866,1.29,Ideal,J,VS2,60.9,58,5646,7.05,7,4.28
13867,1.01,Ideal,F,SI1,62.3,58,5646,6.35,6.42,3.98
13871,1.11,Ideal,D,SI2,61.6,55,5648,6.66,6.62,4.09
13872,1.22,Ideal,J,VS1,61.5,55,5649,6.86,6.87,4.22
13879,1.14,Ideal,D,SI2,61.4,56,5650,6.77,6.69,4.13
13880,1.14,Ideal,G,SI1,62.2,56,5650,6.69,6.66,4.15
13881,1.06,Ideal,I,VS1,61.2,57,5651,6.59,6.56,4.03
13885,1.21,Ideal,J,VS2,62.1,57,5653,6.81,6.82,4.23
13887,1.03,Ideal,D,SI1,62.4,57,5653,6.47,6.44,4.03
13888,1.03,Ideal,G,SI1,60.8,57,5653,6.52,6.47,3.95
13892,1.06,Ideal,F,SI1,62.1,57,5655,6.51,6.53,4.05
13893,1.2,Ideal,I,SI1,61.5,60,5655,6.85,6.8,4.2
13895,1.02,Ideal,E,SI1,62.2,57,5655,6.45,6.41,4
13899,0.9,Ideal,D,SI1,62.4,55,5656,6.15,6.19,3.85
13901,1,Ideal,F,SI1,63,56,5656,6.41,6.38,4.03
13902,1.18,Ideal,H,SI2,62.2,56,5657,6.74,6.76,4.2
13907,1.08,Ideal,G,VS2,62.1,57,5661,6.57,6.54,4.07
13910,1.01,Ideal,F,VS2,61,56,5662,6.44,6.4,3.94
13912,1.04,Ideal,F,SI1,61.4,56,5663,6.52,6.58,4.02
13914,1.01,Ideal,H,SI1,61.3,57,5664,6.44,6.46,3.95
13915,1.01,Ideal,H,SI1,61.2,56,5664,6.44,6.47,3.95
13919,1.09,Ideal,F,SI1,62,56,5665,6.56,6.61,4.08
13922,1.02,Ideal,H,VS2,62.4,57,5666,6.4,6.35,3.98
13925,1.02,Ideal,H,VS2,60.4,57,5666,6.58,6.54,3.96
13928,0.96,Ideal,F,VS1,61.2,56,5666,6.38,6.34,3.89
13935,1.06,Ideal,H,VS2,60.5,57,5669,6.63,6.6,4
13936,1.25,Ideal,H,SI2,62.7,56,5670,6.92,6.87,4.32
13938,1.35,Ideal,H,SI2,60,57,5670,7.19,7.15,4.3
13950,1.14,Ideal,G,SI2,61.5,55,5675,6.78,6.71,4.15
13951,1.28,Ideal,H,SI2,61.8,57,5676,7,6.97,4.32
13952,1.29,Ideal,J,VS1,62,57,5676,6.92,6.98,4.31
13962,1.02,Ideal,H,VS2,62,55,5683,6.47,6.44,4
13963,1.24,Ideal,H,VS2,61.4,57,5683,6.92,6.88,4.24
13965,1.03,Ideal,G,SI1,62.2,59,5684,6.41,6.45,4
13970,1.11,Ideal,H,SI1,62.6,57,5688,6.64,6.59,4.14
13976,1.19,Ideal,I,SI1,62.3,55,5690,6.8,6.82,4.24
13978,1.27,Ideal,I,SI1,62.4,56,5690,6.95,6.9,4.32
13980,1.21,Ideal,H,SI2,62.1,55,5692,6.87,6.82,4.25
13981,1.1,Ideal,F,VS2,58.6,57,5692,6.82,6.8,3.99
13982,1.2,Ideal,I,SI1,62.3,53,5694,6.8,6.85,4.25
13983,1.01,Ideal,D,SI1,62.1,56,5694,6.36,6.43,3.97
13987,1.16,Ideal,G,SI2,61.6,55,5695,6.74,6.77,4.16
13989,1.5,Ideal,I,I1,61.3,57,5695,7.39,7.36,4.52
13994,1.05,Ideal,I,VS2,60.3,57,5697,6.57,6.63,3.98
13995,1.06,Ideal,I,SI1,61.8,55,5697,6.54,6.57,4.04
13998,1.01,Ideal,G,SI1,62.6,56,5698,6.37,6.41,4
13999,1.07,Ideal,H,VS2,63.6,59,5698,6.46,6.42,4.09
14007,1.2,Ideal,I,VS2,63.2,59,5699,6.73,6.68,4.24
14025,1.02,Ideal,E,SI1,61.9,55,5702,6.46,6.49,4.01
14026,1.06,Ideal,I,VS1,61.1,56,5702,6.59,6.61,4.03
14027,1.05,Ideal,D,SI2,62.1,58,5702,6.49,6.52,4.04
14028,1.01,Ideal,D,SI1,62,55,5702,6.39,6.45,3.98
14030,1.22,Ideal,H,SI2,61.1,57,5703,6.9,5.92,4.22
14031,1.22,Ideal,H,SI2,61.7,56,5703,6.83,6.91,4.24
14035,1.07,Ideal,E,SI2,61.5,56,5704,6.61,6.58,4.06
14036,1.05,Ideal,H,SI1,60.8,56,5704,6.62,6.58,4.01
14037,1.25,Ideal,H,SI2,61.2,57,5706,6.89,6.93,4.23
14040,1.21,Ideal,J,VS2,62.5,57,5707,6.79,6.74,4.23
14042,0.26,Ideal,G,VVS1,62.8,54,605,4.07,4.09,2.56
14043,0.26,Ideal,G,VVS1,62.4,56,605,4.11,4.14,2.57
14044,0.38,Ideal,J,VS1,62.2,55.7,605,4.63,4.65,2.89
14045,0.41,Ideal,G,SI2,61.3,56,605,4.78,4.81,2.94
14046,0.26,Ideal,G,IF,62.2,55,605,4.09,4.13,2.55
14047,0.26,Ideal,G,IF,62.5,57,605,4.06,4.1,2.55
14049,0.32,Ideal,I,VS1,62.1,57,605,4.42,4.37,2.73
14050,0.32,Ideal,I,VS1,62.3,56,605,4.4,4.37,2.73
14060,0.3,Ideal,F,VS2,61.1,56,605,4.31,4.33,2.64
14061,0.3,Ideal,F,VS2,60.4,56,605,4.34,4.37,2.63
14063,0.3,Ideal,H,VVS2,62.6,55,605,4.25,4.28,2.67
14065,0.3,Ideal,F,VS2,61.8,57,605,4.31,4.33,2.67
14066,0.3,Ideal,H,VVS2,61.2,57,605,4.31,4.32,2.64
14067,0.3,Ideal,F,VS2,62.5,55,605,4.27,4.31,2.68
14068,0.3,Ideal,G,VS1,62.6,57,605,4.27,4.29,2.68
14075,1.03,Ideal,E,SI1,62,53,5710,6.5,6.47,4.02
14077,1.2,Ideal,H,SI2,61.6,57,5712,6.84,6.79,4.2
14081,1.2,Ideal,H,SI2,61,57,5712,6.9,6.84,4.19
14086,1.24,Ideal,I,SI1,61.3,56,5714,6.9,6.93,4.24
14087,1.22,Ideal,G,SI2,59.6,56,5714,7.05,7.02,4.19
14090,1.23,Ideal,F,SI2,62.8,57,5715,6.74,6.86,4.27
14093,1.19,Ideal,E,SI2,60.2,57,5717,6.84,6.87,4.13
14095,0.91,Ideal,D,SI1,60.6,56,5717,6.27,6.3,3.81
14102,1.28,Ideal,I,SI2,62.5,59,5719,6.88,6.95,4.32
14106,1.32,Ideal,I,SI2,61.7,55,5721,7.07,7.03,4.35
14108,1.2,Ideal,G,SI2,61.1,57,5722,6.83,6.86,4.18
14109,1.2,Ideal,J,VS1,61,57,5722,6.81,6.89,4.18
14123,1.05,Ideal,H,VS2,61.7,57,5728,6.52,6.55,4.03
14124,1.3,Ideal,J,SI1,61.5,55,5728,7.03,7.06,4.33
14125,0.99,Ideal,F,SI1,62.8,57,5728,6.3,6.38,3.98
14126,1,Ideal,E,SI1,62.2,53.9,5728,6.4,6.5,4
14127,1,Ideal,E,SI1,62.8,54.2,5728,6.32,6.4,4.01
14136,1.09,Ideal,H,VS2,61.5,54,5732,6.64,6.65,4.09
14140,1.2,Ideal,I,VS2,62.3,57,5736,6.74,6.8,4.22
14156,1.17,Ideal,G,SI2,62.6,55,5743,6.74,6.78,4.23
14161,1.08,Ideal,H,VS2,61.9,54,5745,6.61,6.64,4.1
14169,1.34,Ideal,J,VS1,62,57,5748,7.04,7.12,4.39
14170,1.06,Ideal,I,VS2,61.6,57,5748,6.53,6.58,4.04
14171,1.07,Ideal,I,SI1,61.5,57,5748,6.57,6.59,4.05
14176,1.01,Ideal,E,SI1,59.8,60,5751,6.56,6.48,3.9
14178,1.17,Ideal,H,SI1,62.1,54,5751,6.83,6.77,4.22
14181,0.81,Ideal,E,VVS1,62.5,54,5752,5.95,5.98,3.73
14184,1,Ideal,D,SI1,62.7,56,5755,6.39,6.43,4.02
14186,1.08,Ideal,H,SI1,60.6,59,5756,6.61,6.65,4.02
14192,0.92,Ideal,H,IF,62.5,55,5758,6.25,6.3,3.92
14195,1.06,Ideal,F,SI1,62.1,57,5758,6.53,6.51,4.05
14209,1.13,Ideal,G,SI1,61.8,55,5759,6.71,6.75,4.16
14213,1.22,Ideal,I,VS2,59.5,57,5761,6.91,6.97,4.13
14214,1.27,Ideal,F,SI1,61.8,57,5761,6.96,6.89,4.28
14216,1.35,Ideal,F,SI2,62.9,56,5761,7.05,7.03,4.43
14218,1.23,Ideal,J,VS2,61.7,57,5763,6.87,6.8,4.22
14220,1.2,Ideal,I,SI1,60.3,56,5763,6.87,6.97,4.17
14221,1.14,Ideal,H,SI1,62.2,54,5763,6.69,6.74,4.18
14224,1.2,Ideal,I,VS1,59.3,57,5765,6.95,7.04,4.15
14225,1.38,Ideal,J,SI2,61,56,5765,7.22,7.26,4.42
14230,1.2,Ideal,G,VS1,61.7,56,5766,6.84,6.77,4.2
14231,1.56,Ideal,J,SI2,62.1,55,5766,7.45,7.41,4.62
14234,1.07,Ideal,D,SI1,61.8,55,5767,6.54,6.59,4.06
14235,0.96,Ideal,F,VS1,61.2,56,5767,6.34,6.38,3.89
14236,1.02,Ideal,I,VVS2,62.1,54,5767,6.47,6.51,4.03
14238,1.23,Ideal,H,SI1,63,55,5768,6.78,6.72,4.27
14240,1.09,Ideal,F,SI1,62,56,5768,6.61,6.56,4.08
14249,1.29,Ideal,J,VS2,62.1,59,5771,6.92,6.96,4.31
14251,1.02,Ideal,F,SI1,62.3,56,5773,6.41,6.44,4
14253,1.22,Ideal,H,VS1,62.7,55,5773,6.82,6.73,4.25
14256,1,Ideal,D,SI1,60.6,56,5775,6.5,6.54,3.95
14257,1,Ideal,D,SI1,60.5,57,5775,6.48,6.52,3.93
14265,1.01,Ideal,H,VS1,62.6,57,5777,6.37,6.4,4
14267,1.34,Ideal,I,SI2,61.3,55,5778,7.16,7.12,4.38
14274,0.92,Ideal,D,SI1,62.3,56,5779,6.2,6.23,3.87
14275,1.29,Ideal,J,VS1,62,57,5779,6.98,6.92,4.31
14300,1.08,Ideal,H,VS1,61.9,57,5791,6.58,6.64,4.09
14302,1.26,Ideal,G,VS2,61.5,57,5792,6.94,6.89,4.25
14303,1.16,Ideal,D,SI2,62.1,54,5793,6.74,6.79,4.2
14307,0.91,Ideal,G,VS1,62.1,57,5795,6.17,6.2,3.84
14308,1.28,Ideal,J,VS2,62.8,57,5795,6.93,6.87,4.33
14309,1.04,Ideal,F,SI1,60.9,56,5795,6.61,6.56,4.01
14310,1.38,Ideal,I,SI2,61.8,57,5796,7.14,7.1,4.4
14311,1.24,Ideal,H,SI2,62,56,5797,6.87,6.9,4.27
14312,1.24,Ideal,I,SI1,62.1,56,5797,6.84,6.88,4.26
14314,1,Ideal,F,SI2,62.4,57,5798,6.37,6.42,3.99
14315,1.06,Ideal,E,SI1,61.6,56,5798,6.55,6.59,4.05
14328,1.03,Ideal,D,SI1,61.2,55,5804,6.51,6.57,4
14329,1.03,Ideal,D,SI1,61.6,55,5804,6.49,6.53,4.01
14330,1.03,Ideal,D,SI1,61,57,5804,6.48,6.53,3.97
14331,1,Ideal,D,SI1,61.9,57,5804,6.39,6.41,3.96
14332,1.16,Ideal,D,SI1,62,56,5805,6.73,6.76,4.18
14334,1.04,Ideal,H,VS2,60.7,56,5805,6.56,6.61,4
14335,0.92,Ideal,F,VS2,61.2,56,5805,6.25,6.3,3.84
14342,1.02,Ideal,E,SI1,61.9,55,5806,6.49,6.46,4.01
14343,1.22,Ideal,I,SI1,60.2,58,5807,6.96,6.9,4.17
14344,1.22,Ideal,I,SI1,60.2,57,5807,6.99,6.93,4.19
14345,1.22,Ideal,H,SI2,61.1,57,5807,6.9,5.92,4.22
14346,1.22,Ideal,H,SI2,61.7,56,5807,6.91,6.83,4.24
14347,1.22,Ideal,I,SI1,62.6,57,5807,6.8,6.77,4.25
14349,1.32,Ideal,J,VS1,62.5,57,5808,7,7.04,4.39
14353,1.25,Ideal,H,SI2,61.2,57,5810,6.93,6.89,4.23
14355,1.01,Ideal,D,SI1,61.4,59,5812,6.4,6.44,3.94
14357,1.13,Ideal,I,VS1,61.6,54,5813,6.72,6.74,4.15
14360,1.21,Ideal,H,SI2,62,54.5,5814,6.81,6.87,4.25
14366,1.02,Ideal,G,VS2,62.6,57,5816,6.41,6.43,4.02
14367,1.02,Ideal,G,VS2,62,57,5816,6.38,6.46,3.98
14368,1.09,Ideal,F,SI1,62,56,5816,6.56,6.61,4.08
14369,1.09,Ideal,F,SI1,62,56,5816,6.59,6.61,4.09
14371,0.3,Ideal,H,VVS2,61.3,57,605,4.31,4.33,2.65
14373,0.3,Ideal,F,VS2,62.7,57,605,4.27,4.31,2.69
14376,0.3,Ideal,H,VVS2,61.5,56,605,4.33,4.35,2.67
14378,0.3,Ideal,G,VS1,61.8,54,605,4.29,4.32,2.66
14379,0.3,Ideal,H,VVS2,62.2,57,605,4.26,4.29,2.66
14385,0.3,Ideal,H,VVS2,61.7,54,605,4.31,4.34,2.67
14387,0.3,Ideal,F,VS2,61.8,56,605,4.3,4.31,2.66
14397,0.3,Ideal,H,VVS2,61.5,57,605,4.31,4.34,2.66
14405,1.12,Ideal,H,SI1,60.9,57,5818,6.7,6.73,4.09
14411,1.07,Ideal,H,VS2,62,57,5820,6.55,6.58,4.07
14412,1.23,Ideal,I,SI2,61.8,55,5820,6.87,6.91,4.26
14413,1.31,Ideal,I,SI2,61,59,5820,7.05,7.01,4.29
14422,1.2,Ideal,H,SI1,61.7,55,5822,6.86,6.82,4.22
14424,1.19,Ideal,E,SI2,60.2,57,5822,6.87,6.84,4.13
14427,1,Ideal,G,VS2,62.3,56,5824,6.38,6.36,3.97
14433,1.2,Ideal,G,SI2,61.1,57,5826,6.86,6.83,4.18
14434,0.9,Ideal,F,VS2,60.8,57,5828,6.22,6.24,3.79
14435,1.01,Ideal,H,SI2,59.1,59,5828,6.58,6.61,3.9
14436,1.13,Ideal,D,SI1,61.8,56,5829,6.68,6.74,4.15
14440,1.14,Ideal,H,VS2,61.6,56,5831,6.68,6.72,4.13
14442,1.37,Ideal,J,VS2,63,57,5831,7.11,7.05,4.46
14447,1.01,Ideal,D,SI1,62,57,5832,6.37,6.44,3.97
14452,1.2,Ideal,H,VS2,63,56,5833,6.74,6.65,4.22
14454,1.05,Ideal,H,VS2,61.7,57,5833,6.55,6.52,4.03
14459,1.06,Ideal,F,SI1,61.9,57,5834,6.57,6.54,4.06
14461,1.03,Ideal,D,SI2,60.7,58,5836,6.51,6.53,3.96
14463,1.17,Ideal,F,SI1,62.2,56,5837,6.71,6.73,4.18
14464,1.03,Ideal,E,SI1,60.3,55,5837,6.62,6.57,3.98
14465,1.12,Ideal,H,SI1,61.8,56,5838,6.67,6.69,4.13
14469,1.08,Ideal,H,VS2,62.1,56,5839,6.59,6.56,4.08
14470,1.02,Ideal,E,SI1,62.2,54.7,5840,6.44,6.47,4.01
14472,0.74,Ideal,D,VVS2,61.4,56,5841,5.82,5.87,3.58
14474,1.17,Ideal,D,SI2,62.7,57,5842,6.7,6.72,4.21
14475,1.05,Ideal,F,SI1,61.3,54,5842,6.58,6.61,4.04
14476,1,Ideal,F,VS2,62,55,5844,6.43,6.48,4
14485,1.08,Ideal,H,VS2,61.9,54,5850,6.64,6.61,4.1
14490,1.33,Ideal,J,VS1,61.3,57,5852,7.08,7.11,4.35
14491,1.16,Ideal,H,SI1,60,60,5852,6.87,6.84,4.11
14495,1.11,Ideal,H,SI1,61.6,56,5854,6.69,6.73,4.07
14497,1.01,Ideal,I,VS2,62.5,56,5855,6.38,6.41,4
14500,1.23,Ideal,I,SI1,62,57,5855,6.91,6.87,4.27
14502,1.33,Ideal,J,SI1,62.4,54,5857,7.04,7.07,4.4
14512,1.14,Ideal,H,SI1,60.4,57,5861,6.78,6.83,4.11
14513,1.35,Ideal,J,VS2,61.4,57,5862,7.1,7.13,4.37
14514,1.12,Ideal,H,SI1,62.8,55,5863,6.66,6.61,4.17
14515,1.14,Ideal,I,VS1,61.7,53,5863,6.75,6.77,4.17
14529,1.1,Ideal,I,VS1,62.3,55,5864,6.64,6.6,4.12
14533,1.24,Ideal,J,VS1,61.6,57,5866,6.89,6.93,4.26
14534,1.24,Ideal,I,SI2,61.8,58,5866,6.85,6.9,4.25
14535,1.08,Ideal,H,SI1,60,58,5867,6.69,6.66,4.01
14537,1.1,Ideal,G,SI1,62.2,56.6,5868,6.56,6.6,4.09
14546,1.07,Ideal,D,SI1,61.8,55,5872,6.59,6.54,4.06
14548,1.06,Ideal,E,SI1,58.8,57,5877,6.71,6.66,3.93
14550,0.93,Ideal,G,IF,62.2,58,5879,6.25,6.22,3.88
14551,0.95,Ideal,E,VS1,61.5,57,5879,6.3,6.28,3.87
14554,1.25,Ideal,H,SI2,62.8,55,5880,6.87,6.82,4.3
14556,1.2,Ideal,I,VS2,61.5,57,5880,6.8,6.75,4.17
14557,1,Ideal,D,SI1,60.6,56,5880,6.54,6.5,3.95
14561,1,Ideal,D,SI1,62.2,56,5880,6.38,6.35,3.96
14562,1,Ideal,E,SI1,61.6,55,5880,6.45,6.43,3.97
14563,1,Ideal,D,SI1,60.5,57,5880,6.52,6.48,3.93
14564,1.01,Ideal,H,VS1,62.6,57,5882,6.4,6.37,4
14566,1.21,Ideal,H,VS2,62.2,55,5882,6.84,6.79,4.24
14567,1.21,Ideal,H,VS2,62.8,55,5882,6.79,6.74,4.25
14569,1.04,Ideal,F,SI1,61.3,56,5882,6.55,6.5,4
14578,1.2,Ideal,I,VS2,62.5,56,5884,6.66,6.74,4.19
14580,1.27,Ideal,J,VS1,61.4,59,5885,6.95,6.97,4.27
14582,1.13,Ideal,H,VS2,62,57,5885,6.7,6.66,4.14
14585,0.92,Ideal,H,VVS1,62.1,54,5886,6.26,6.23,3.88
14588,1,Ideal,G,VS2,62.3,56,5887,6.37,6.41,3.98
14589,1,Ideal,G,VS2,62.3,56,5887,6.43,6.32,3.97
14591,1.28,Ideal,G,SI2,61.4,57,5888,6.96,6.99,4.28
14592,1.1,Ideal,H,VS2,61.3,56,5888,6.64,6.67,4.08
14594,1.06,Ideal,H,VS2,62.5,57,5889,6.49,6.47,4.05
14600,1.24,Ideal,F,SI2,61.7,57,5889,6.95,6.88,4.27
14602,1.23,Ideal,H,SI1,63,56,5889,6.83,6.79,4.29
14605,1.15,Ideal,D,SI2,61.7,57,5891,6.72,6.76,4.16
14606,1.17,Ideal,I,VS1,61.5,57,5892,6.74,6.79,4.16
14610,1.23,Ideal,F,SI2,62.3,58,5894,6.8,6.84,4.25
14613,0.9,Ideal,D,VS2,63,57,5897,6.14,6.09,3.85
14616,1.16,Ideal,D,SI2,62.1,54,5898,6.79,6.74,4.2
14623,1.21,Ideal,H,VS1,62,57,5902,6.79,6.75,4.19
14625,1.24,Ideal,H,SI2,62,56,5902,6.9,6.87,4.27
14626,1.24,Ideal,I,SI1,62.1,56,5902,6.88,6.84,4.26
14628,1.09,Ideal,I,VS2,61.8,57,5904,6.55,6.59,4.06
14631,0.9,Ideal,H,VS1,60.4,57,5907,6.27,6.29,3.79
14632,1.16,Ideal,G,SI1,61.8,55,5908,6.75,6.78,4.18
14636,1.07,Ideal,F,SI1,60.6,57,5909,6.62,6.67,1.07
14639,1.13,Ideal,H,SI1,61.9,60,5911,6.63,6.65,4.11
14640,1.16,Ideal,D,SI1,62,56,5911,6.76,6.73,4.18
14647,1.05,Ideal,D,SI1,61.7,56,5914,6.53,6.59,4.05
14648,1.05,Ideal,D,SI1,62.8,57,5914,6.46,6.48,4.06
14650,1,Ideal,F,VVS2,61.3,56,5914,6.44,6.41,3.94
14654,1.2,Ideal,I,VS2,62.1,57,5914,6.78,6.71,4.19
14658,1.02,Ideal,G,VS2,62.6,58,5915,6.43,6.39,4.01
14678,1.02,Ideal,G,VS2,62.6,57,5922,6.43,6.41,4.02
14679,1.09,Ideal,F,SI1,62,56,5922,6.61,6.59,4.09
14680,1.09,Ideal,F,SI1,62,56,5922,6.61,6.56,4.08
14687,1.27,Ideal,J,VS2,62.9,54,5925,6.87,6.9,4.33
14689,1.29,Ideal,H,SI2,62.1,57,5926,6.95,6.93,4.31
14693,1,Ideal,F,VS2,62.1,57,5929,6.34,6.38,3.95
14694,1,Ideal,D,SI1,59.9,56,5929,6.51,6.54,3.91
14701,0.3,Ideal,F,VS2,62.3,57,605,4.3,4.33,2.69
14702,0.3,Ideal,G,VS1,61.4,55,605,4.31,4.36,2.66
14703,0.3,Ideal,G,VS1,61.5,57,605,4.31,4.34,2.66
14705,0.3,Ideal,F,VS2,60.7,57,605,4.29,4.34,2.62
14706,0.3,Ideal,G,VS1,61.8,55,605,4.31,4.33,2.67
14709,0.3,Ideal,H,VVS2,60.4,56,605,4.32,4.36,2.62
14711,0.3,Ideal,F,VS2,61.6,57,605,4.28,4.32,2.65
14712,0.3,Ideal,F,VS2,61.3,55,605,4.3,4.32,2.64
14716,0.3,Ideal,G,VS1,62.3,56,605,4.29,4.32,2.68
14718,0.3,Ideal,F,VS2,60.7,56,605,4.32,4.34,2.63
14721,0.3,Ideal,G,VS1,62.5,57,605,4.29,4.32,2.69
14727,0.3,Ideal,G,VS1,62.2,55,605,4.28,4.31,2.67
14728,0.3,Ideal,H,VVS2,61.6,55,605,4.3,4.34,2.66
14731,1.15,Ideal,I,VS1,61.3,56,5930,6.74,6.76,4.14
14735,1.05,Ideal,I,VVS2,61.8,53,5932,6.56,6.57,4.06
14736,1.25,Ideal,H,SI2,62.2,55.4,5932,6.89,6.94,4.29
14737,1.01,Ideal,F,SI1,61.7,56,5932,6.45,6.48,3.99
14738,1.09,Ideal,E,SI1,61.1,55,5935,6.66,6.7,4.08
14739,1,Ideal,E,SI1,62.9,56,5935,6.33,6.38,4
14741,1.01,Ideal,H,VS2,61.7,56,5936,6.45,6.47,3.98
14742,1.13,Ideal,D,SI1,61.8,56,5936,6.74,6.68,4.15
14743,1.21,Ideal,H,SI1,62,56,5936,6.86,6.81,4.24
